date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:35	55202/55202	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2018:42:40%20GMT	https://khaddo.learnhunter.xyz/profile.html	E:/new/food/khaddo.learnhunter.xyz/profile.html	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:35	49094/49094	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2019:07:36%20GMT	https://khaddo.learnhunter.xyz/contact.html	E:/new/food/khaddo.learnhunter.xyz/contact.html	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:36	49698/49698	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2018:40:44%20GMT	https://khaddo.learnhunter.xyz/login.html	E:/new/food/khaddo.learnhunter.xyz/login.html	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:36	4944/4944	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2019%20Sep%202021%2018:58:18%20GMT	https://khaddo.learnhunter.xyz/img/icon/chair.svg	E:/new/food/khaddo.learnhunter.xyz/img/icon/chair.svg	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:36	521/521	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Mar%202021%2019:45:28%20GMT	https://khaddo.learnhunter.xyz/img/icon/icon-basket.png	E:/new/food/khaddo.learnhunter.xyz/img/icon/icon-basket.png	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:37	217742/217742	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Mar%202021%2018:14:44%20GMT	https://khaddo.learnhunter.xyz/img/product/7-600x600.png	E:/new/food/khaddo.learnhunter.xyz/img/product/7-600x600.png	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:38	3221/3221	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2020%20Sep%202021%2018:42:12%20GMT	https://khaddo.learnhunter.xyz/img/icon/shopping-cart.svg	E:/new/food/khaddo.learnhunter.xyz/img/icon/shopping-cart.svg	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:38	4212/4212	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2020%20Sep%202021%2018:35:52%20GMT	https://khaddo.learnhunter.xyz/img/icon/menu.svg	E:/new/food/khaddo.learnhunter.xyz/img/icon/menu.svg	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:38	565793/565793	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Mar%202021%2018:14:18%20GMT	https://khaddo.learnhunter.xyz/img/product/pizza_2.png	E:/new/food/khaddo.learnhunter.xyz/img/product/pizza_2.png	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:38	2146/2146	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2020%20Sep%202021%2018:30:26%20GMT	https://khaddo.learnhunter.xyz/img/icon/home.svg	E:/new/food/khaddo.learnhunter.xyz/img/icon/home.svg	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:39	1555/1555	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2020%20Sep%202021%2018:33:10%20GMT	https://khaddo.learnhunter.xyz/img/icon/user.svg	E:/new/food/khaddo.learnhunter.xyz/img/icon/user.svg	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:39	19291/19291	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Apr%202021%2010:14:54%20GMT	https://khaddo.learnhunter.xyz/img/category/category-11.png	E:/new/food/khaddo.learnhunter.xyz/img/category/category-11.png	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:40	17706/17706	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Apr%202021%2010:15:10%20GMT	https://khaddo.learnhunter.xyz/img/category/category3.png	E:/new/food/khaddo.learnhunter.xyz/img/category/category3.png	(from https://khaddo.learnhunter.xyz/category_product.html)
16:43:40	16155/16155	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Apr%202021%2010:15:04%20GMT	https://khaddo.learnhunter.xyz/img/category/category-22.png	E:/new/food/khaddo.learnhunter.xyz/img/category/category-22.png	(from https://khaddo.learnhunter.xyz/category_product.html)
